date,year,month_num,month_name,day_num,day_name
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
2022-01-05,2022,01,January,05,Wednesday
